buying,class,doors,lug_boot,maint,persons,safety
vhigh,unacc,5more,big,vhigh,2,low
vhigh,unacc,5more,big,vhigh,2,med
vhigh,unacc,5more,big,vhigh,2,high
vhigh,unacc,5more,small,vhigh,4,low
vhigh,unacc,5more,small,vhigh,4,med
vhigh,unacc,5more,small,vhigh,4,high
vhigh,unacc,5more,med,vhigh,4,low
vhigh,unacc,5more,med,vhigh,4,med
vhigh,unacc,5more,med,vhigh,4,high
vhigh,unacc,5more,big,vhigh,4,low
vhigh,unacc,5more,big,vhigh,4,med
vhigh,unacc,5more,big,vhigh,4,high
vhigh,unacc,5more,small,vhigh,more,low
vhigh,unacc,5more,small,vhigh,more,med
vhigh,unacc,5more,small,vhigh,more,high
vhigh,unacc,5more,med,vhigh,more,low
vhigh,unacc,5more,med,vhigh,more,med
vhigh,unacc,5more,med,vhigh,more,high
vhigh,unacc,5more,big,vhigh,more,low
vhigh,unacc,5more,big,vhigh,more,med
vhigh,unacc,5more,big,vhigh,more,high
vhigh,unacc,2,small,high,2,low
vhigh,unacc,2,small,high,2,med
vhigh,unacc,2,small,high,2,high
vhigh,unacc,2,med,high,2,low
vhigh,unacc,2,med,high,2,med
vhigh,unacc,2,med,high,2,high
vhigh,unacc,2,big,high,2,low
vhigh,unacc,2,big,high,2,med
vhigh,unacc,2,big,high,2,high
vhigh,unacc,2,small,high,4,low
vhigh,unacc,2,small,high,4,med
vhigh,unacc,2,small,high,4,high
vhigh,unacc,2,med,high,4,low
vhigh,unacc,2,med,high,4,med
vhigh,unacc,2,med,high,4,high
vhigh,unacc,2,big,high,4,low
vhigh,unacc,2,big,high,4,med
vhigh,unacc,2,big,high,4,high
vhigh,unacc,2,small,high,more,low
vhigh,unacc,2,small,high,more,med
vhigh,unacc,2,small,high,more,high
vhigh,unacc,2,med,high,more,low
vhigh,unacc,2,med,high,more,med
vhigh,unacc,2,med,high,more,high
vhigh,unacc,2,big,high,more,low
vhigh,unacc,2,big,high,more,med
vhigh,unacc,2,big,high,more,high
vhigh,unacc,3,small,high,2,low
vhigh,unacc,3,small,high,2,med
vhigh,unacc,3,small,high,2,high
vhigh,unacc,3,med,high,2,low
vhigh,unacc,3,med,high,2,med
vhigh,unacc,3,med,high,2,high
vhigh,unacc,3,big,high,2,low
vhigh,unacc,3,big,high,2,med
vhigh,unacc,3,big,high,2,high
vhigh,unacc,3,small,high,4,low
vhigh,unacc,3,small,high,4,med
vhigh,unacc,3,small,high,4,high
vhigh,unacc,3,med,high,4,low
vhigh,unacc,3,med,high,4,med
vhigh,unacc,3,med,high,4,high
vhigh,unacc,3,big,high,4,low
vhigh,unacc,3,big,high,4,med
vhigh,unacc,3,big,high,4,high
vhigh,unacc,3,small,high,more,low
vhigh,unacc,3,small,high,more,med
vhigh,unacc,3,small,high,more,high
vhigh,unacc,3,med,high,more,low
vhigh,unacc,3,med,high,more,med
vhigh,unacc,3,med,high,more,high
vhigh,unacc,3,big,high,more,low
vhigh,unacc,3,big,high,more,med
vhigh,unacc,3,big,high,more,high
vhigh,unacc,4,small,high,2,low
vhigh,unacc,4,small,high,2,med
vhigh,unacc,4,small,high,2,high
vhigh,unacc,4,med,high,2,low
vhigh,unacc,4,med,high,2,med
vhigh,unacc,4,med,high,2,high
vhigh,unacc,4,big,high,2,low
vhigh,unacc,4,big,high,2,med
vhigh,unacc,4,big,high,2,high
vhigh,unacc,4,small,high,4,low
vhigh,unacc,4,small,high,4,med
vhigh,unacc,4,small,high,4,high
vhigh,unacc,4,med,high,4,low
vhigh,unacc,4,med,high,4,med
vhigh,unacc,4,med,high,4,high
vhigh,unacc,4,big,high,4,low
vhigh,unacc,4,big,high,4,med
vhigh,unacc,4,big,high,4,high
vhigh,unacc,4,small,high,more,low
vhigh,unacc,4,small,high,more,med
vhigh,unacc,4,small,high,more,high
vhigh,unacc,4,med,high,more,low
vhigh,unacc,4,med,high,more,med
vhigh,unacc,4,med,high,more,high
vhigh,unacc,4,big,high,more,low
vhigh,unacc,4,big,high,more,med
vhigh,unacc,4,big,high,more,high
vhigh,unacc,5more,small,high,2,low
vhigh,unacc,5more,small,high,2,med
vhigh,unacc,5more,small,high,2,high
vhigh,unacc,5more,med,high,2,low
vhigh,unacc,5more,med,high,2,med
vhigh,unacc,5more,med,high,2,high
vhigh,unacc,5more,big,high,2,low
vhigh,unacc,5more,big,high,2,med
vhigh,unacc,5more,big,high,2,high
vhigh,unacc,5more,small,high,4,low
vhigh,unacc,5more,small,high,4,med
vhigh,unacc,5more,small,high,4,high
vhigh,unacc,5more,med,high,4,low
vhigh,unacc,5more,med,high,4,med
vhigh,unacc,5more,med,high,4,high
vhigh,unacc,5more,big,high,4,low
vhigh,unacc,5more,big,high,4,med
vhigh,unacc,5more,big,high,4,high
vhigh,unacc,5more,small,high,more,low
vhigh,unacc,5more,small,high,more,med
vhigh,unacc,5more,small,high,more,high
vhigh,unacc,5more,med,high,more,low
vhigh,unacc,5more,med,high,more,med
vhigh,unacc,5more,med,high,more,high
vhigh,unacc,5more,big,high,more,low
vhigh,unacc,5more,big,high,more,med
vhigh,unacc,5more,big,high,more,high
vhigh,unacc,2,small,med,2,low
vhigh,unacc,2,small,med,2,med
vhigh,unacc,2,small,med,2,high
vhigh,unacc,2,med,med,2,low
vhigh,unacc,2,med,med,2,med
vhigh,unacc,2,med,med,2,high
vhigh,unacc,2,big,med,2,low
vhigh,unacc,2,big,med,2,med
vhigh,unacc,2,big,med,2,high
vhigh,unacc,2,small,med,4,low
vhigh,unacc,2,small,med,4,med
vhigh,acc,2,small,med,4,high
vhigh,unacc,2,med,med,4,low
vhigh,unacc,2,med,med,4,med
vhigh,acc,2,med,med,4,high
vhigh,unacc,2,big,med,4,low
vhigh,acc,2,big,med,4,med
vhigh,acc,2,big,med,4,high
vhigh,unacc,2,small,med,more,low
vhigh,unacc,2,small,med,more,med
vhigh,unacc,2,small,med,more,high
vhigh,unacc,2,med,med,more,low
vhigh,unacc,2,med,med,more,med
vhigh,acc,2,med,med,more,high
vhigh,unacc,2,big,med,more,low
vhigh,acc,2,big,med,more,med
vhigh,acc,2,big,med,more,high
vhigh,unacc,3,small,med,2,low
vhigh,unacc,3,small,med,2,med
vhigh,unacc,3,small,med,2,high
vhigh,unacc,3,med,med,2,low
vhigh,unacc,3,med,med,2,med
vhigh,unacc,3,med,med,2,high
vhigh,unacc,3,big,med,2,low
vhigh,unacc,3,big,med,2,med
vhigh,unacc,3,big,med,2,high
vhigh,unacc,3,small,med,4,low
vhigh,unacc,3,small,med,4,med
vhigh,acc,3,small,med,4,high
vhigh,unacc,3,med,med,4,low
vhigh,unacc,3,med,med,4,med
vhigh,acc,3,med,med,4,high
vhigh,unacc,3,big,med,4,low
vhigh,acc,3,big,med,4,med
vhigh,acc,3,big,med,4,high
vhigh,unacc,3,small,med,more,low
vhigh,unacc,3,small,med,more,med
vhigh,acc,3,small,med,more,high
vhigh,unacc,3,med,med,more,low
vhigh,acc,3,med,med,more,med
vhigh,acc,3,med,med,more,high
vhigh,unacc,3,big,med,more,low
vhigh,acc,3,big,med,more,med
vhigh,acc,3,big,med,more,high
vhigh,unacc,4,small,med,2,low
vhigh,unacc,4,small,med,2,med
vhigh,unacc,4,small,med,2,high
vhigh,unacc,4,med,med,2,low
vhigh,unacc,4,med,med,2,med
vhigh,unacc,4,med,med,2,high
vhigh,unacc,4,big,med,2,low
vhigh,unacc,4,big,med,2,med
vhigh,unacc,4,big,med,2,high
vhigh,unacc,4,small,med,4,low
vhigh,unacc,4,small,med,4,med
vhigh,acc,4,small,med,4,high
vhigh,unacc,4,med,med,4,low
vhigh,acc,4,med,med,4,med
vhigh,acc,4,med,med,4,high
vhigh,unacc,4,big,med,4,low
vhigh,acc,4,big,med,4,med
vhigh,acc,4,big,med,4,high
vhigh,unacc,4,small,med,more,low
vhigh,unacc,4,small,med,more,med
vhigh,acc,4,small,med,more,high
vhigh,unacc,4,med,med,more,low
vhigh,acc,4,med,med,more,med
vhigh,acc,4,med,med,more,high
vhigh,unacc,4,big,med,more,low
vhigh,acc,4,big,med,more,med
vhigh,acc,4,big,med,more,high
vhigh,unacc,5more,small,med,2,low
vhigh,unacc,5more,small,med,2,med
vhigh,unacc,5more,small,med,2,high
vhigh,unacc,5more,med,med,2,low
vhigh,unacc,5more,med,med,2,med
vhigh,unacc,5more,med,med,2,high
vhigh,unacc,5more,big,med,2,low
vhigh,unacc,5more,big,med,2,med
vhigh,unacc,5more,big,med,2,high
vhigh,unacc,5more,small,med,4,low
vhigh,unacc,5more,small,med,4,med
vhigh,acc,5more,small,med,4,high
vhigh,unacc,5more,med,med,4,low
vhigh,acc,5more,med,med,4,med
vhigh,acc,5more,med,med,4,high
vhigh,unacc,5more,big,med,4,low
vhigh,acc,5more,big,med,4,med
vhigh,acc,5more,big,med,4,high
vhigh,unacc,5more,small,med,more,low
vhigh,unacc,5more,small,med,more,med
vhigh,acc,5more,small,med,more,high
vhigh,unacc,5more,med,med,more,low
vhigh,acc,5more,med,med,more,med
vhigh,acc,5more,med,med,more,high
vhigh,unacc,5more,big,med,more,low
vhigh,acc,5more,big,med,more,med
vhigh,acc,5more,big,med,more,high
vhigh,unacc,2,small,low,2,low
vhigh,unacc,2,small,low,2,med
vhigh,unacc,2,small,low,2,high
vhigh,unacc,2,med,low,2,low
vhigh,unacc,2,med,low,2,med
vhigh,unacc,2,med,low,2,high
vhigh,unacc,2,big,low,2,low
vhigh,unacc,2,big,low,2,med
vhigh,unacc,2,big,low,2,high
vhigh,unacc,2,small,low,4,low
vhigh,unacc,2,small,low,4,med
vhigh,acc,2,small,low,4,high
vhigh,unacc,2,med,low,4,low
vhigh,unacc,2,med,low,4,med
vhigh,acc,2,med,low,4,high
vhigh,unacc,2,big,low,4,low
vhigh,acc,2,big,low,4,med
vhigh,acc,2,big,low,4,high
vhigh,unacc,2,small,low,more,low
vhigh,unacc,2,small,low,more,med
vhigh,unacc,2,small,low,more,high
vhigh,unacc,2,med,low,more,low
vhigh,unacc,2,med,low,more,med
vhigh,acc,2,med,low,more,high
vhigh,unacc,2,big,low,more,low
vhigh,acc,2,big,low,more,med
vhigh,acc,2,big,low,more,high
vhigh,unacc,3,small,low,2,low
vhigh,unacc,3,small,low,2,med
vhigh,unacc,3,small,low,2,high
vhigh,unacc,3,med,low,2,low
vhigh,unacc,3,med,low,2,med
vhigh,unacc,3,med,low,2,high
vhigh,unacc,3,big,low,2,low
vhigh,unacc,3,big,low,2,med
vhigh,unacc,3,big,low,2,high
vhigh,unacc,3,small,low,4,low
vhigh,unacc,3,small,low,4,med
vhigh,acc,3,small,low,4,high
vhigh,unacc,3,med,low,4,low
vhigh,unacc,3,med,low,4,med
vhigh,acc,3,med,low,4,high
vhigh,unacc,3,big,low,4,low
vhigh,acc,3,big,low,4,med
vhigh,acc,3,big,low,4,high
vhigh,unacc,3,small,low,more,low
vhigh,unacc,3,small,low,more,med
vhigh,acc,3,small,low,more,high
vhigh,unacc,3,med,low,more,low
vhigh,acc,3,med,low,more,med
vhigh,acc,3,med,low,more,high
vhigh,unacc,3,big,low,more,low
vhigh,acc,3,big,low,more,med
vhigh,acc,3,big,low,more,high
vhigh,unacc,4,small,low,2,low
vhigh,unacc,4,small,low,2,med
vhigh,unacc,4,small,low,2,high
vhigh,unacc,4,med,low,2,low
vhigh,unacc,4,med,low,2,med
vhigh,unacc,4,med,low,2,high
vhigh,unacc,4,big,low,2,low
vhigh,unacc,4,big,low,2,med
vhigh,unacc,4,big,low,2,high
vhigh,unacc,4,small,low,4,low
vhigh,unacc,4,small,low,4,med
vhigh,acc,4,small,low,4,high
vhigh,unacc,4,med,low,4,low
vhigh,acc,4,med,low,4,med
vhigh,acc,4,med,low,4,high
vhigh,unacc,4,big,low,4,low
vhigh,acc,4,big,low,4,med
vhigh,acc,4,big,low,4,high
vhigh,unacc,4,small,low,more,low
vhigh,unacc,4,small,low,more,med
vhigh,acc,4,small,low,more,high
vhigh,unacc,4,med,low,more,low
vhigh,acc,4,med,low,more,med
vhigh,acc,4,med,low,more,high
vhigh,unacc,4,big,low,more,low
vhigh,acc,4,big,low,more,med
vhigh,acc,4,big,low,more,high
vhigh,unacc,5more,small,low,2,low
vhigh,unacc,5more,small,low,2,med
vhigh,unacc,5more,small,low,2,high
vhigh,unacc,5more,med,low,2,low
vhigh,unacc,5more,med,low,2,med
vhigh,unacc,5more,med,low,2,high
vhigh,unacc,5more,big,low,2,low
vhigh,unacc,5more,big,low,2,med
vhigh,unacc,5more,big,low,2,high
vhigh,unacc,5more,small,low,4,low
vhigh,unacc,5more,small,low,4,med
vhigh,acc,5more,small,low,4,high
vhigh,unacc,5more,med,low,4,low
vhigh,acc,5more,med,low,4,med
vhigh,acc,5more,med,low,4,high
vhigh,unacc,5more,big,low,4,low
vhigh,acc,5more,big,low,4,med
vhigh,acc,5more,big,low,4,high
vhigh,unacc,5more,small,low,more,low
vhigh,unacc,5more,small,low,more,med
vhigh,acc,5more,small,low,more,high
vhigh,unacc,5more,med,low,more,low
vhigh,acc,5more,med,low,more,med
vhigh,acc,5more,med,low,more,high
vhigh,unacc,5more,big,low,more,low
vhigh,acc,5more,big,low,more,med
vhigh,acc,5more,big,low,more,high
high,unacc,2,small,vhigh,2,low
high,unacc,2,small,vhigh,2,med
high,unacc,2,small,vhigh,2,high
high,unacc,2,med,vhigh,2,low
high,unacc,2,med,vhigh,2,med
high,unacc,2,med,vhigh,2,high
high,unacc,2,big,vhigh,2,low
high,unacc,2,big,vhigh,2,med
high,unacc,2,big,vhigh,2,high
high,unacc,2,small,vhigh,4,low
high,unacc,2,small,vhigh,4,med
high,unacc,2,small,vhigh,4,high
high,unacc,2,med,vhigh,4,low
high,unacc,2,med,vhigh,4,med
high,unacc,2,med,vhigh,4,high
high,unacc,2,big,vhigh,4,low
high,unacc,2,big,vhigh,4,med
high,unacc,2,big,vhigh,4,high
high,unacc,2,small,vhigh,more,low
high,unacc,2,small,vhigh,more,med
high,unacc,2,small,vhigh,more,high
high,unacc,2,med,vhigh,more,low
high,unacc,2,med,vhigh,more,med
high,unacc,2,med,vhigh,more,high
high,unacc,2,big,vhigh,more,low
high,unacc,2,big,vhigh,more,med
high,unacc,2,big,vhigh,more,high
high,unacc,3,small,vhigh,2,low
high,unacc,3,small,vhigh,2,med
high,unacc,3,small,vhigh,2,high
high,unacc,3,med,vhigh,2,low
high,unacc,3,med,vhigh,2,med
high,unacc,3,med,vhigh,2,high
high,unacc,3,big,vhigh,2,low
high,unacc,3,big,vhigh,2,med
high,unacc,3,big,vhigh,2,high
high,unacc,3,small,vhigh,4,low
high,unacc,3,small,vhigh,4,med
high,unacc,3,small,vhigh,4,high
high,unacc,3,med,vhigh,4,low
high,unacc,3,med,vhigh,4,med
high,unacc,3,med,vhigh,4,high
high,unacc,3,big,vhigh,4,low
high,unacc,3,big,vhigh,4,med
high,unacc,3,big,vhigh,4,high
high,unacc,3,small,vhigh,more,low
high,unacc,3,small,vhigh,more,med
high,unacc,3,small,vhigh,more,high
high,unacc,3,med,vhigh,more,low
high,unacc,3,med,vhigh,more,med
high,unacc,3,med,vhigh,more,high
high,unacc,3,big,vhigh,more,low
high,unacc,3,big,vhigh,more,med
high,unacc,3,big,vhigh,more,high
high,unacc,4,small,vhigh,2,low
high,unacc,4,small,vhigh,2,med
high,unacc,4,small,vhigh,2,high
high,unacc,4,med,vhigh,2,low
high,unacc,4,med,vhigh,2,med
high,unacc,4,med,vhigh,2,high
high,unacc,4,big,vhigh,2,low
high,unacc,4,big,vhigh,2,med
high,unacc,4,big,vhigh,2,high
high,unacc,4,small,vhigh,4,low
high,unacc,4,small,vhigh,4,med
high,unacc,4,small,vhigh,4,high
high,unacc,4,med,vhigh,4,low
high,unacc,4,med,vhigh,4,med
high,unacc,4,med,vhigh,4,high
high,unacc,4,big,vhigh,4,low
high,unacc,4,big,vhigh,4,med
high,unacc,4,big,vhigh,4,high
high,unacc,4,small,vhigh,more,low
high,unacc,4,small,vhigh,more,med
high,unacc,4,small,vhigh,more,high
high,unacc,4,med,vhigh,more,low
high,unacc,4,med,vhigh,more,med
high,unacc,4,med,vhigh,more,high
high,unacc,4,big,vhigh,more,low
high,unacc,4,big,vhigh,more,med
high,unacc,4,big,vhigh,more,high
high,unacc,5more,small,vhigh,2,low
high,unacc,5more,small,vhigh,2,med
high,unacc,5more,small,vhigh,2,high
high,unacc,5more,med,vhigh,2,low
high,unacc,5more,med,vhigh,2,med
high,unacc,5more,med,vhigh,2,high
high,unacc,5more,big,vhigh,2,low
high,unacc,5more,big,vhigh,2,med
high,unacc,5more,big,vhigh,2,high
high,unacc,5more,small,vhigh,4,low
high,unacc,5more,small,vhigh,4,med
high,unacc,5more,small,vhigh,4,high
high,unacc,5more,med,vhigh,4,low
high,unacc,5more,med,vhigh,4,med
high,unacc,5more,med,vhigh,4,high
high,unacc,5more,big,vhigh,4,low
high,unacc,5more,big,vhigh,4,med
high,unacc,5more,big,vhigh,4,high
high,unacc,5more,small,vhigh,more,low
high,unacc,5more,small,vhigh,more,med
high,unacc,5more,small,vhigh,more,high
high,unacc,5more,med,vhigh,more,low
high,unacc,5more,med,vhigh,more,med
high,unacc,5more,med,vhigh,more,high
high,unacc,5more,big,vhigh,more,low
high,unacc,5more,big,vhigh,more,med
high,unacc,5more,big,vhigh,more,high
high,unacc,2,small,high,2,low
high,unacc,2,small,high,2,med
high,unacc,2,small,high,2,high
high,unacc,2,med,high,2,low
high,unacc,2,med,high,2,med
high,unacc,2,med,high,2,high
high,unacc,2,big,high,2,low
high,unacc,2,big,high,2,med
high,unacc,2,big,high,2,high
high,unacc,2,small,high,4,low
high,unacc,2,small,high,4,med
high,acc,2,small,high,4,high
high,unacc,2,med,high,4,low
high,unacc,2,med,high,4,med
high,acc,2,med,high,4,high
high,unacc,2,big,high,4,low
high,acc,2,big,high,4,med
high,acc,2,big,high,4,high
high,unacc,2,small,high,more,low
high,unacc,2,small,high,more,med
high,unacc,2,small,high,more,high
high,unacc,2,med,high,more,low
high,unacc,2,med,high,more,med
high,acc,2,med,high,more,high
high,unacc,2,big,high,more,low
high,acc,2,big,high,more,med
high,acc,2,big,high,more,high
high,unacc,3,small,high,2,low
high,unacc,3,small,high,2,med
high,unacc,3,small,high,2,high
high,unacc,3,med,high,2,low
high,unacc,3,med,high,2,med
high,unacc,3,med,high,2,high
high,unacc,3,big,high,2,low
high,unacc,3,big,high,2,med
high,unacc,3,big,high,2,high
high,unacc,3,small,high,4,low
high,unacc,3,small,high,4,med
high,acc,3,small,high,4,high
high,unacc,3,med,high,4,low
high,unacc,3,med,high,4,med
high,acc,3,med,high,4,high
high,unacc,3,big,high,4,low
high,acc,3,big,high,4,med
high,acc,3,big,high,4,high
high,unacc,3,small,high,more,low
high,unacc,3,small,high,more,med
high,acc,3,small,high,more,high
high,unacc,3,med,high,more,low
high,acc,3,med,high,more,med
high,acc,3,med,high,more,high
high,unacc,3,big,high,more,low
high,acc,3,big,high,more,med
high,acc,3,big,high,more,high
high,unacc,4,small,high,2,low
high,unacc,4,small,high,2,med
high,unacc,4,small,high,2,high
high,unacc,4,med,high,2,low
high,unacc,4,med,high,2,med
high,unacc,4,med,high,2,high
high,unacc,4,big,high,2,low
high,unacc,4,big,high,2,med
high,unacc,4,big,high,2,high
high,unacc,4,small,high,4,low
high,unacc,4,small,high,4,med
high,acc,4,small,high,4,high
high,unacc,4,med,high,4,low
high,acc,4,med,high,4,med
high,acc,4,med,high,4,high
high,unacc,4,big,high,4,low
high,acc,4,big,high,4,med
high,acc,4,big,high,4,high
high,unacc,4,small,high,more,low
high,unacc,4,small,high,more,med
high,acc,4,small,high,more,high
high,unacc,4,med,high,more,low
high,acc,4,med,high,more,med
high,acc,4,med,high,more,high
high,unacc,4,big,high,more,low
high,acc,4,big,high,more,med
high,acc,4,big,high,more,high
high,unacc,5more,small,high,2,low
high,unacc,5more,small,high,2,med
high,unacc,5more,small,high,2,high
high,unacc,5more,med,high,2,low
high,unacc,5more,med,high,2,med
high,unacc,5more,med,high,2,high
high,unacc,5more,big,high,2,low
high,unacc,5more,big,high,2,med
high,unacc,5more,big,high,2,high
high,unacc,5more,small,high,4,low
high,unacc,5more,small,high,4,med
high,acc,5more,small,high,4,high
high,unacc,5more,med,high,4,low
high,acc,5more,med,high,4,med
high,acc,5more,med,high,4,high
high,unacc,5more,big,high,4,low
high,acc,5more,big,high,4,med
high,acc,5more,big,high,4,high
high,unacc,5more,small,high,more,low
high,unacc,5more,small,high,more,med
high,acc,5more,small,high,more,high
high,unacc,5more,med,high,more,low
high,acc,5more,med,high,more,med
high,acc,5more,med,high,more,high
high,unacc,5more,big,high,more,low
high,acc,5more,big,high,more,med
high,acc,5more,big,high,more,high
high,unacc,2,small,med,2,low
high,unacc,2,small,med,2,med
high,unacc,2,small,med,2,high
high,unacc,2,med,med,2,low
high,unacc,2,med,med,2,med
high,unacc,2,med,med,2,high
high,unacc,2,big,med,2,low
high,unacc,2,big,med,2,med
high,unacc,2,big,med,2,high
high,unacc,2,small,med,4,low
high,unacc,2,small,med,4,med
high,acc,2,small,med,4,high
high,unacc,2,med,med,4,low
high,unacc,2,med,med,4,med
high,acc,2,med,med,4,high
high,unacc,2,big,med,4,low
high,acc,2,big,med,4,med
high,acc,2,big,med,4,high
high,unacc,2,small,med,more,low
high,unacc,2,small,med,more,med
high,unacc,2,small,med,more,high
high,unacc,2,med,med,more,low
high,unacc,2,med,med,more,med
high,acc,2,med,med,more,high
high,unacc,2,big,med,more,low
high,acc,2,big,med,more,med
high,acc,2,big,med,more,high
high,unacc,3,small,med,2,low
high,unacc,3,small,med,2,med
high,unacc,3,small,med,2,high
high,unacc,3,med,med,2,low
high,unacc,3,med,med,2,med
high,unacc,3,med,med,2,high
high,unacc,3,big,med,2,low
high,unacc,3,big,med,2,med
high,unacc,3,big,med,2,high
high,unacc,3,small,med,4,low
high,unacc,3,small,med,4,med
high,acc,3,small,med,4,high
high,unacc,3,med,med,4,low
high,unacc,3,med,med,4,med
high,acc,3,med,med,4,high
high,unacc,3,big,med,4,low
high,acc,3,big,med,4,med
high,acc,3,big,med,4,high
high,unacc,3,small,med,more,low
high,unacc,3,small,med,more,med
high,acc,3,small,med,more,high
high,unacc,3,med,med,more,low
high,acc,3,med,med,more,med
high,acc,3,med,med,more,high
high,unacc,3,big,med,more,low
high,acc,3,big,med,more,med
high,acc,3,big,med,more,high
high,unacc,4,small,med,2,low
high,unacc,4,small,med,2,med
high,unacc,4,small,med,2,high
high,unacc,4,med,med,2,low
high,unacc,4,med,med,2,med
high,unacc,4,med,med,2,high
high,unacc,4,big,med,2,low
high,unacc,4,big,med,2,med
high,unacc,4,big,med,2,high
high,unacc,4,small,med,4,low
high,unacc,4,small,med,4,med
high,acc,4,small,med,4,high
high,unacc,4,med,med,4,low
high,acc,4,med,med,4,med
high,acc,4,med,med,4,high
high,unacc,4,big,med,4,low
high,acc,4,big,med,4,med
high,acc,4,big,med,4,high
high,unacc,4,small,med,more,low
high,unacc,4,small,med,more,med
high,acc,4,small,med,more,high
high,unacc,4,med,med,more,low
high,acc,4,med,med,more,med
high,acc,4,med,med,more,high
high,unacc,4,big,med,more,low
high,acc,4,big,med,more,med
high,acc,4,big,med,more,high
high,unacc,5more,small,med,2,low
high,unacc,5more,small,med,2,med
high,unacc,5more,small,med,2,high
high,unacc,5more,med,med,2,low
high,unacc,5more,med,med,2,med
high,unacc,5more,med,med,2,high
high,unacc,5more,big,med,2,low
high,unacc,5more,big,med,2,med
high,unacc,5more,big,med,2,high
high,unacc,5more,small,med,4,low
high,unacc,5more,small,med,4,med
high,acc,5more,small,med,4,high
high,unacc,5more,med,med,4,low
high,acc,5more,med,med,4,med
high,acc,5more,med,med,4,high
high,unacc,5more,big,med,4,low
high,acc,5more,big,med,4,med
high,acc,5more,big,med,4,high
high,unacc,5more,small,med,more,low
